,mean,std,median,min_val,max_val
KNN_Accuracy_metrics,0.8291985260248734,0.004179211518091284,0.8294948564409642,0.8206663595885153,0.8393981268232765
KNN_Class0_values_metrics,0.9095393882534007,0.004100183220461558,0.9095491659091417,0.899390243902439,0.9173771822980106
KNN_Class1_values_metrics,0.576379768237264,0.010747049931058348,0.5762026054595595,0.5490931832395247,0.5992217898832685
LS_Accuracy_metrics,0.8301335789958542,0.004792250454076367,0.8303393213572854,0.8180561953017043,0.8413941348073085
LS_Class0_values_metrics,0.9542073301971419,0.0030926240362790986,0.9542393128060356,0.9457270149858242,0.9611122305057425
LS_Class1_values_metrics,0.4393655846344779,0.01374778152223075,0.43876782754304317,0.40682095006090135,0.47438330170777987
QD_Accuracy_metrics,0.7513050821434056,0.004770070153035112,0.7518808536772609,0.7394441885459849,0.7624750499001997
QD_Class0_values_metrics,0.7241046719489151,0.006449154491587903,0.7247776360566376,0.7106331168831169,0.7458384084449858
QD_Class1_values_metrics,0.8369185476571112,0.009067124593368517,0.836340405574952,0.81411468178954,0.860897435897436
QD_v1_Accuracy_metrics,0.761906955320129,0.004397949870555127,0.7617073545217258,0.7481959158605865,0.7724550898203593
QD_v1_Class0_values_metrics,0.7544208620628606,0.006634614922857208,0.7543769979666677,0.7403015075376884,0.7696663296258848
QD_v1_Class1_values_metrics,0.7855632605855785,0.011949060976782047,0.7859405397966746,0.7531887755102041,0.8101430429128739
QD_v2_Accuracy_metrics,0.8048518347919544,0.0045178595817120925,0.8053124520190389,0.7941040994933211,0.8160601873176724
QD_v2_Class0_values_metrics,0.9807679873898937,0.0022933433420848494,0.9806973965341104,0.9745184590690209,0.9861139473146825
QD_v2_Class1_values_metrics,0.2526655757020937,0.010383588923206982,0.2516937440803301,0.22732919254658385,0.28081321473951715
QD_v3_lambZero_Accuracy_metrics,0.7517718409335176,0.00494788074909545,0.7518040841394135,0.7402118839244588,0.7626285889758944
QD_v3_lambZero_Class0_values_metrics,0.7249871289625526,0.00652791383440703,0.7243299367211469,0.708316511909568,0.7417670682730924
QD_v3_lambZero_Class1_values_metrics,0.8362515525639277,0.008998218147810022,0.8368955992383813,0.8139841688654353,0.8561470215462611
QD_v3_lambOne_Accuracy_metrics,0.8053569783509902,0.004581761150258649,0.8056195301704283,0.7904191616766467,0.8168278826961461
QD_v3_lambOne_Class0_values_metrics,0.9805645164309482,0.0019131644866400817,0.9807770919302039,0.9762718680876734,0.9847573204973927
QD_v3_lambOne_Class1_values_metrics,0.2537686568566137,0.010116206000942986,0.25369347451094004,0.21907692307692309,0.2791718946047679
